id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1447,Sondo Chandrapur,Maharashtra,,19.654024,79.316496,,,,approved,,
1448,Savkheda Jalgaon,Maharashtra,,21.142140,75.233785,,,,approved,,
1449,Belane Kd Kolhapur,Maharashtra,,16.860929,74.870125,,,,approved,,
1450,Koloshi Kolhapur,Maharashtra,,19.225865,73.553174,,,,approved,,
1451,Anjaneri Nashik,Maharashtra,,19.920079,73.569141,,,,approved,,
1452,Ambavane Pune,Maharashtra,,18.272784,73.799529,,,,approved,,
1453,Palase Pune,Maharashtra,,18.399352,73.556065,,,,approved,,
1454,Pangari Pune,Maharashtra,,17.937505,73.771268,,,,approved,,
1455,Mahad Raigad,Maharashtra,,18.078774,73.433111,,,,approved,,
1456,Aagave Ratnagiri,Maharashtra,,16.896536,73.433046,,,,approved,,
1457,Washi Ratnagiri,Maharashtra,,18.541404,75.778434,,,,approved,,
1458,Devrashtra Sangli,Maharashtra,,17.164491,74.397182,,,,approved,,
1459,Moleshwar Satara,Maharashtra,,17.880002,73.733525,,,,approved,,
1460,Achra Sindhudurg,Maharashtra,,16.189038,73.449939,,,,approved,,
1461,Yedgaon Sindhudurg,Maharashtra,,19.163689,73.998694,,,,approved,,
1462,Vetore Sindhudurg,Maharashtra,,15.907416,73.661126,,,,approved,,
1463,Pirumbaba Khanivali Thane,Maharashtra,,19.600011,73.059264,,,,approved,,
1464,Pabhal Yavatmal,Maharashtra,,18.830855,74.053774,,,,approved,,
1465,Sawongbung Lairenbi Sawongbung Bishnupur,Manipur,,24.871720,94.019355,,,,approved,,
1466,Tokpa Pung Lainingthou Thangmeiband D.M.College Bishnupur,Manipur,,24.821472,93.943361,,,,approved,,
1467,Arai Leima Lalabung Imphal East,Manipur,,24.343060,93.842943,,,,approved,,
1468,Emoinu Wangoi Imphal East,Manipur,,24.679287,93.904842,,,,approved,,
1469,Erum Ningthou Kakching Kakching Imphal West,Manipur,,24.484270,93.969276,,,,approved,,
1470,Koubru Tera Urak Imphal West,Manipur,,24.529317,93.945367,,,,approved,,
1471,Sagoltongba Ningthempokpa Sagoltongba Imphal West,Manipur,,24.776276,93.856970,,,,approved,,
1472,Wangoi Wangbarel Wangoi Thoubal,Manipur,,24.671448,93.897289,,,,approved,,
1473,Bora Miapara East Garo Hills,Meghalaya,,25.930498,90.701702,,,,approved,,
1474,Diengkain Wmwai East Khasi Hills,Meghalaya,,25.213398,91.723504,,,,approved,,
1475,Diengliengbah Rngiksheh East Khasi Hills,Meghalaya,,25.418894,91.431039,,,,approved,,
1476,Blai Law Raliang Jaintia Hills,Meghalaya,,25.501811,92.391812,,,,approved,,
1477,Nong Lyndoh Nongkhrai Nongpoh Ri Bhoi,Meghalaya,,25.856860,91.834385,,,,approved,,
1478,Angalgir West Garo Hills,Meghalaya,,26.048261,91.835524,,,,approved,,
1479,Lawren Nongstoin West Khasi Hills,Meghalaya,,25.509940,91.258780,,,,approved,,
