id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1664,Samay Mai Ka Sthan Sohelwa Balrampur,Uttar Pradesh,,27.340472,82.192412,,,,approved,,
1665,Van Satti Devi Sohelwa Balrampur,Uttar Pradesh,,27.375540,82.134519,,,,approved,,
1666,Van Satti Devi Tikari Compt. 4 & Vested forest (Gonda),Uttar Pradesh,,26.926988,82.208818,,,,approved,,
1667,Van Satti Devi Kuana Range (Gonda),Uttar Pradesh,,27.145503,81.918501,,,,approved,,
1668,Samay Mai Ka Sthan Kuana Range (Gonda),Uttar Pradesh,,27.096611,81.910262,,,,approved,,
1669,Van Satti Devi Bhinga Range Shravasti F.D. Compt.36,Uttar Pradesh,,27.851874,81.850414,,,,approved,,
1670,Jagpati Dham Kakadari Range Shravasti F.D.,Uttar Pradesh,,27.718360,81.888309,,,,approved,,
1671,Samay Mai Ka Sthan Bhinga Range Shravasti F.D. Compt.35 40,Uttar Pradesh,,27.765631,81.986370,,,,approved,,
1672,Soonta Baba Rupaideeha Bahraich,Uttar Pradesh,,27.863650,81.507799,,,,approved,,
1673,Kapoore Baba Nanpara Bahraich,Uttar Pradesh,,27.863650,81.507799,,,,approved,,
1674,Bauri Samay Nanpara Bahraich F.D.,Uttar Pradesh,,27.867975,81.492521,,,,approved,,
1675,Chakia Range Bahraich F.D.,Uttar Pradesh,,28.045656,81.380579,,,,approved,,
1676,Pataal Choohi Katarniya Ghat Range Katarniya Ghat Div.,Uttar Pradesh,,28.000246,81.280714,,,,approved,,
1677,Mota Baba Katarniya Ghat Range Katarniya Ghat Div,Uttar Pradesh,,27.997725,81.331169,,,,approved,,
1678,Samay Mai Ka Sthan Murtiha Range (Katarniya Ghat Div.),Uttar Pradesh,,27.988656,81.301855,,,,approved,,
1679,Sree Valliyoor Kavu Wayanad,Kerala,,11.772771,75.888235,,,,approved,,
1680,Kalapparambathu Thrissur,Kerala,,10.521504,76.264444,,,,approved,,
1681,Kalassery Kavu Pathanamthitta,Kerala,,9.262530,76.803466,,,,approved,,
1682,Kallingal Palakkad,Kerala,,10.789682,76.621634,,,,approved,,
1683,Bhagawathi Malappuram,Kerala,,11.047875,76.052083,,,,approved,,
1684,Vallal Kozhikode,Kerala,,11.326492,75.739380,,,,approved,,
1685,Koypathi Kottayam,Kerala,,9.604610,76.535354,,,,approved,,
1686,Kannan Kavu Kollam,Kerala,,8.869794,76.606054,,,,approved,,
1687,Hundi Kavu Kasaragod,Kerala,,12.512755,74.978169,,,,approved,,
1688,Edattu Kavu Kannur,Kerala,,11.852616,75.366773,,,,approved,,
1689,Kolana Kavu Idduki,Kerala,,9.868072,76.923256,,,,approved,,
1690,Ameda kavu Ernakulam,Kerala,,8.688943,76.784782,,,,approved,,
1691,Anchalumoottil Alappuzha,Kerala,,8.913438,76.596571,,,,approved,,
1692,Thimmal temple Krishnapuram Virudhunagar,Tamil Nadu,,9.422039,77.505113,,,,approved,,
1693,Aiyanar Pannaikuppam Villupuram,Tamil Nadu,,11.919870,79.685383,,,,approved,,
1694,Perumal Korathur Vellore,Tamil Nadu,,13.115743,80.180507,,,,approved,,
1695,Kaliamman Ettayapuram Tuticorin,Tamil Nadu,,9.148510,78.000751,,,,approved,,
1696,Aachayi Amman Anbil Lalgudi Thiruchirappalli,Tamil Nadu,,10.865609,78.889399,,,,approved,,
1697,Karuppurayan Valiyapalayam Dharapuram Thiruppur,Tamil Nadu,,11.288253,77.416599,,,,approved,,
1698,Ayyanar and Karuppu Abishekapuram Tirunelveli,Tamil Nadu,,10.807573,78.678961,,,,approved,,
1699,Aiyanar Vesalur Kudavasal Thiruvaru,Tamil Nadu,,10.408231,78.667504,,,,approved,,
1700,Aiyanarappan Agaram Tiruvannamalai,Tamil Nadu,,10.795978,78.770326,,,,approved,,
1701,Pathamathamma kovil Puthur AmbathurThiruvallur,Tamil Nadu,,10.815444,78.676034,,,,approved,,
1702,Velappar Theppampatti Aundipatti Theni,Tamil Nadu,,9.895739,77.598254,,,,approved,,
1703,Vinayagar Ketti Coonoor Nilgiris,Tamil Nadu,,11.372980,76.730189,,,,approved,,
1704,Kaligambal Manalur Kumbakoam Thanjavur,Tamil Nadu,,12.018876,78.936102,,,,approved,,
1705,Rajanageswari Ayyavayal Devakottai Sivaganga,Tamil Nadu,,10.445912,78.827149,,,,approved,,
1707,Dharma Sastha Kadaladi,Tamil Nadu,,9.171649,78.445724,,,,approved,,
1708,Karuppasamy Karusakkaadu Alangudi Pudukottai,Tamil Nadu,,10.360268,78.980286,,,,approved,,
1709,Aayiravalli amman Kunnam Perambalur,Tamil Nadu,,11.230826,79.019725,,,,approved,,
1710,Periyasamy Vellakuzhi Namakkal,Tamil Nadu,,11.222931,78.175125,,,,approved,,
1711,Pathiniamma Chetticherry Kivalur Nagapattinum,Tamil Nadu,,10.770369,79.744287,,,,approved,,
1712,Pandimuniswarar Pandikoil Madurai north,Tamil Nadu,,9.935056,78.122623,,,,approved,,
1713,Thirumathi Gangamma Pikkanapalli Hosur Krishnagiri,Tamil Nadu,,12.636388,78.070133,,,,approved,,
1714,Kalaiyamman/ karupasway Pavuthiram Aravankuruchi Karur,Tamil Nadu,,10.774462,77.908915,,,,approved,,
1715,Anchalikadavu Isakki Kaavu Agastheeswaram Kanyakumari,Tamil Nadu,,8.101031,77.535739,,,,approved,,
1716,Ponniamman Orathur Kancheepuram,Tamil Nadu,,12.845111,80.034916,,,,approved,,
1717,Vedagiri Uratchikottai Erode,Tamil Nadu,,11.455009,77.686539,,,,approved,,
1718,Kattu Mariamman Yelagiri Dharmapuri,Tamil Nadu,,12.585520,78.634123,,,,approved,,
1719,Marudhamalai Coimbatore,Tamil Nadu,,11.035070,76.865875,,,,approved,,
1720,Poyyur Ariyalur,Tamil Nadu,,11.063796,79.110532,,,,approved,,
1721,Vishnumurthi,Karnataka,,14.489132,74.485386,,,,approved,,
1722,Gramadevaru,Karnataka,,14.806116,74.863146,,,,approved,,
1723,Devasthanajaga,Karnataka,,12.943105,77.737118,,,,approved,,
1724,Bhagavathi,Karnataka,,12.436344,75.731919,,,,approved,,
1725,Bhadrakali,Karnataka,,14.549365,74.323667,,,,approved,,
1726,Devaranede,Karnataka,,14.567020,74.351809,,,,approved,,
1727,Punjurli,Karnataka,,13.035265,74.949212,,,,approved,,
1728,Kshstra,Karnataka,,12.961729,78.112881,,,,approved,,
1729,Ballavati,Karnataka,,13.566913,75.794219,,,,approved,,
1730,Devarabana,Karnataka,,13.061921,75.538430,,,,approved,,
1731,Bhagavathi,Karnataka,,12.432898,75.730108,,,,approved,,
1732,Chamundi,Karnataka,,12.278004,76.670207,,,,approved,,
1733,Avaandoru,Karnataka,,17.336177,77.163112,,,,approved,,
1734,Poovadi,Karnataka,,15.788370,75.462696,,,,approved,,
1735,Kabilara Hobethale,Tamil Nadu,,11.147378,77.944290,,,,approved,,
1736,Aiyyanthageri,Karnataka,,12.288417,75.518683,,,,approved,,
1737,MurthyDevi,Karnataka,,12.695998,75.301793,,,,approved,,
1738,Ayyappa Aivathoklu,Karnataka,,12.693137,75.394236,,,,approved,,
1739,Kolu Pabuji Nosar Jodhpur,Rajasthan,,26.908160,73.853332,,,,approved,,
1740,Mataji ki Vani Sakroda Udaipur,Rajasthan,,24.568775,73.853332,,,,approved,,
1741,Hanuman Mandir Ghasa Udaipur,Rajasthan,,24.765979,73.837737,,,,approved,,
1742,Arthanarishwar Temple Oda Udaipur,Rajasthan,,24.371513,73.791294,,,,approved,,
1743,Bheru ji ki Bani Kurad Tonk,Rajasthan,,26.414223,75.244795,,,,approved,,
1744,Kothapurinatham Pondicherry,Tamil Nadu,,11.931065,79.672744,,,,approved,,
1745,Edayarpalayam Pondicherry,Puducherry,,11.875908,79.800294,,,,approved,,
1746,Kanuvapet (Villianur) Pondicherry,Puducherry,,11.905636,79.760143,,,,approved,,
1747,Sembipalayam Pondicherry,Puducherry,,11.884485,79.732069,,,,approved,,
1748,Poraiyur Pondicherry,Puducherry,,11.929895,79.747468,,,,approved,,
1749,Odiyampattu Pondicherry,Puducherry,,11.907910,79.777398,,,,approved,,
1750,Kudiyiruppupalayam Pondicherry,Puducherry,,11.820601,79.751935,,,,approved,,
1751,Melparikkalpattu Pondicherry,Puducherry,,11.793057,79.751987,,,,approved,,
1752,Nettappakkam Pondicherry,Puducherry,,11.864064,79.635676,,,,approved,,
1753,Tollgate Kanniakoil Pondicherry,Puducherry,,11.888825,79.800124,,,,approved,,
1754,Adhai din ka Jhopra Anna Saga Ajmer,Rajasthan,,26.469407,74.630650,,,,approved,,
1755,Gopal Das Ji Ki Bani Alwar,Rajasthan,,25.998025,72.730806,,,,approved,,
1756,Bharu Nath Ki Devbani Bakthpura Alwar,Rajasthan,,27.530452,76.524497,,,,approved,,
1757,Viratra Kiaan Dhok Barmer,Rajasthan,,25.480169,71.014903,,,,approved,,
1758,Chawandmata KI Bani Hamirgarh Bhilwara,Rajasthan,,25.189041,74.631243,,,,approved,,
1759,"Hanuman temple, Rayalacheruvu, Andhra Pradesh",Andhra Pradesh,,15.059646,77.813404,,,,approved,,
1760,Shri Charbhuja Temple Pushkar,Rajasthan,,26.488723,74.541217,,,,approved,,
1761,Shri Charbhuja Temple Pushkar,Rajasthan,,26.476508,74.537269,,,,approved,,
1762,Sri Bajrang BaliKishangarh,Rajasthan,,26.605257,74.845104,,,,approved,,
1763,Tuljha Mata ka Bihadmala Mala,Rajasthan,,26.552034,75.081734,,,,approved,,
1764,Charbhjua Devbani Bardani,Rajasthan,,27.235857,74.536633,,,,approved,,
1765,Jhaleri Ramdev oran Motawata,Rajasthan,,27.950888,72.910358,,,,approved,,
1766,Bherunath Ki Vani Kannoj,Rajasthan,,24.756224,74.537880,,,,approved,,
1767,Hanuman ji ki Bani Lalsot,Rajasthan,,26.548427,76.315105,,,,approved,,
1768,Kalu baba ki Devban Punana,Rajasthan,,27.076700,75.542496,,,,approved,,
1769,Bheru ji ka Baag Tamandiya,Rajasthan,,26.541900,75.830278,,,,approved,,
1770,Ramdev ji ka Oran Ramdevra,Rajasthan,,27.006888,71.922791,,,,approved,,
1771,Jameshwar Mahadeo Oran Sakar,Rajasthan,,27.610526,75.157225,,,,approved,,
1772,Dudharji Shipur,Rajasthan,,26.801181,75.823498,,,,approved,,
1773,Arthanarishwar Temple Oda,Rajasthan,,25.035103,72.810864,,,,approved,,
1774,Neelkanth Mahadev Bhinder,Rajasthan,,24.509875,74.187326,,,,approved,,
1775,Shrinath Mandir Udaipur,Rajasthan,,24.590470,73.673968,,,,approved,,
1776,Bhadariya oran Lathi Jaiselmer,Rajasthan,,27.038316,71.519774,,,,approved,,
1777,"Charnai Mata, SukhMadhala, jodhpur",Rajasthan,,26.788514,72.493231,,,,approved,,
1778,Shankar ji ki Bani Khijuria,Rajasthan,,27.097562,75.491738,,,,approved,,
1779,Sawongbung Lairenbi,Manipur,,24.870164,94.010617,,,,approved,,
1780,Salam Leikai,Manipur,,24.805155,93.930174,,,,approved,,
1781,Sugunu Lokningthou,Manipur,,24.293735,93.877809,,,,approved,,
1782,Ebudhou Marjing,Manipur,,24.876729,93.952651,,,,approved,,
1783,Ebudhou Khamlangba,Manipur,,24.786755,94.129095,,,,approved,,
1784,Ebudhou Thangjing,Manipur,,24.512138,93.775698,,,,approved,,
1785,Ema Nongaleima,Manipur,,24.702390,93.897663,,,,approved,,
1786,Eputhou Nongsaba,Manipur,,24.566950,93.907963,,,,approved,,
1787,Lainingthou Ahanba,Manipur,,24.827735,93.960244,,,,approved,,
1788,Lainingthou Sanamahi,Manipur,,24.689182,93.907083,,,,approved,,
1789,Langol Lairenbi,Manipur,,24.837576,93.904336,,,,approved,,
1790,Mongba Hanba,Manipur,,24.796215,93.943179,,,,approved,,
1791,Nongmairembi laishang,Manipur,,24.818311,93.985232,,,,approved,,
1792,Nongpok Ningthou Ema Panthoibi Shanglen,Manipur,,24.795827,93.962563,,,,approved,,
